INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling(apcc) ../../../../EQFilter.c in debug mode
INFO: [HLS 200-10] Running 'd:/Xilinx/Vivado_HLS/2017.2/bin/unwrapped/win64.o/apcc.exe'
INFO: [HLS 200-10] For user 'Entvex' on host 'desktop-mbd2ksk' (Windows NT_amd64 version 6.2) on Tue Sep 25 09:22:15 +0200 2018
INFO: [HLS 200-10] In directory 'D:/Xilinx/Assignment_2/EQ_HLS/HLS/solution1/csim/build'
INFO: [APCC 202-3] Tmp directory is apcc_db
INFO: [APCC 202-1] APCC is done.
   Compiling(apcc) ../../../../EQTest.c in debug mode
INFO: [HLS 200-10] Running 'd:/Xilinx/Vivado_HLS/2017.2/bin/unwrapped/win64.o/apcc.exe'
INFO: [HLS 200-10] For user 'Entvex' on host 'desktop-mbd2ksk' (Windows NT_amd64 version 6.2) on Tue Sep 25 09:22:25 +0200 2018
INFO: [HLS 200-10] In directory 'D:/Xilinx/Assignment_2/EQ_HLS/HLS/solution1/csim/build'
INFO: [APCC 202-3] Tmp directory is apcc_db
INFO: [APCC 202-1] APCC is done.
   Compiling(apcc) ../../../../EQ.c in debug mode
INFO: [HLS 200-10] Running 'd:/Xilinx/Vivado_HLS/2017.2/bin/unwrapped/win64.o/apcc.exe'
INFO: [HLS 200-10] For user 'Entvex' on host 'desktop-mbd2ksk' (Windows NT_amd64 version 6.2) on Tue Sep 25 09:22:28 +0200 2018
INFO: [HLS 200-10] In directory 'D:/Xilinx/Assignment_2/EQ_HLS/HLS/solution1/csim/build'
INFO: [APCC 202-3] Tmp directory is apcc_db
INFO: [APCC 202-1] APCC is done.
   Generating csim.exe
0 16384 8971
1 0 -7528
2 0 3272
3 0 3586
4 0 -1647
5 0 -788
6 0 1331
7 0 -448
8 0 570
9 0 877
10 0 -2124
11 0 -1243
12 0 -117
13 0 -1933
14 0 -481
15 0 798
16 0 -909
17 0 327
18 0 1375
19 0 -355
20 0 658
21 0 1508
22 0 -207
23 0 655
24 0 1380
25 0 -271
26 0 479
27 0 1103
28 0 -480
29 0 177
30 0 728
31 0 -760
32 0 -148
33 0 380
34 0 -972
35 0 -357
36 0 190
37 0 -1005
38 0 -367
39 0 204
40 0 -852
41 0 -210
42 0 356
43 0 -606
44 0 -2
45 0 515
46 0 -402
47 0 127
48 0 562
49 0 -339
50 0 102
51 0 458
52 0 -423
53 0 -49
54 0 256
55 0 -577
56 0 -232
57 0 61
58 0 -695
59 0 -345
60 0 -35
61 0 -698
62 0 -329
63 0 -1
64 0 -582
65 0 -211
66 0 112
67 0 -422
68 0 -82
69 0 203
70 0 -319
71 0 -36
72 0 187
73 0 -344
74 0 -125
75 0 40
76 0 -494
77 0 -323
78 0 -191
79 0 -700
80 0 -541
81 0 -409
82 0 -861
83 0 -684
84 0 -527
85 0 -908
86 0 -704
87 0 -520
88 0 -841
89 0 -624
90 0 -435
91 0 -722
92 0 -521
93 0 -357
94 0 -644
95 0 -483
96 0 -363
97 0 -666
98 0 -551
99 0 -477
100 0 -789
101 0 -708
102 0 -656
103 0 -955
104 0 -880
105 0 -825
106 0 -1086
107 0 -993
108 0 -912
109 0 -1123
110 0 -1003
111 0 -895
112 0 -1064
113 0 -928
114 0 -814
115 0 -962
116 0 -836
117 0 -738
118 0 -890
119 0 -795
120 0 -729
121 0 -901
122 0 -841
123 0 -809
124 0 -997
125 0 -962
126 0 -947
127 0 -1131
128 0 -1099
129 0 -1078
130 0 -1235
131 0 -1187
132 0 -1144
133 0 -1265
134 0 -1193
135 0 -1127
136 0 -1216
137 0 -1130
138 0 -1054
139 0 -1130
140 0 -1049
141 0 -987
142 0 -1071
143 0 -1015
144 0 -980
145 0 -1083
146 0 -1058
147 0 -1052
148 0 -1171
149 0 -1165
150 0 -1171
151 0 -1289
152 0 -1284
153 0 -1284
154 0 -1381
155 0 -1359
156 0 -1339
157 0 -1407
158 0 -1363
159 0 -1323
160 0 -1366
161 0 -1311
162 0 -1264
163 0 -1298
164 0 -1250
165 0 -1212
166 0 -1257
167 0 -1227
168 0 -1212
169 0 -1274
170 0 -1268
171 0 -1275
172 0 -1353
173 0 -1363
174 0 -1378
175 0 -1457
176 0 -1466
177 0 -1476
178 0 -1540
179 0 -1534
180 0 -1526
181 0 -1565
182 0 -1537
183 0 -1509
184 0 -1529
185 0 -1489
186 0 -1451
187 0 -1462
188 0 -1422
189 0 -1390
190 0 -1408
191 0 -1383
192 0 -1368
193 0 -1402
194 0 -1398
195 0 -1401
196 0 -1447
197 0 -1456
198 0 -1470
199 0 -1517
200 0 -1526
201 0 -1534
202 0 -1570
203 0 -1564
204 0 -1557
205 0 -1574
206 0 -1550
207 0 -1528
208 0 -1526
209 0 -1493
210 0 -1465
211 0 -1458
212 0 -1426
213 0 -1403
214 0 -1404
215 0 -1384
216 0 -1376
217 0 -1391
218 0 -1388
219 0 -1395
220 0 -1421
221 0 -1427
222 0 -1439
223 0 -1468
224 0 -1473
225 0 -1480
226 0 -1498
227 0 -1491
228 0 -1484
229 0 -1487
230 0 -1467
231 0 -1448
232 0 -1439
233 0 -1412
234 0 -1387
235 0 -1376
236 0 -1350
237 0 -1331
238 0 -1327
239 0 -1311
240 0 -1305
241 0 -1312
242 0 -1309
243 0 -1314
244 0 -1331
245 0 -1335
246 0 -1345
247 0 -1363
248 0 -1367
249 0 -1374
250 0 -1385
251 0 -1381
252 0 -1377
253 0 -1376
254 0 -1362
255 0 -1347
256 0 -1337
257 0 -1315
258 0 -1295
259 0 -1282
260 0 -1263
261 0 -1245
262 0 -1238
263 0 -1227
264 0 -1220
265 0 -1222
266 0 -1222
267 0 -1226
268 0 -1236
269 0 -1243
270 0 -1253
271 0 -1263
272 0 -1269
273 0 -1274
274 0 -1278
275 0 -1277
276 0 -1273
277 0 -1269
278 0 -1258
279 0 -1243
280 0 -1232
281 0 -1216
282 0 -1199
283 0 -1187
284 0 -1172
285 0 -1158
286 0 -1151
287 0 -1144
288 0 -1137
289 0 -1138
290 0 -1138
291 0 -1139
292 0 -1146
293 0 -1153
294 0 -1158
295 0 -1165
296 0 -1170
297 0 -1171
298 0 -1174
299 0 -1172
300 0 -1168
301 0 -1164
302 0 -1155
303 0 -1144
304 0 -1132
305 0 -1119
306 0 -1105
307 0 -1092
308 0 -1080
309 0 -1068
310 0 -1060
311 0 -1055
312 0 -1049
313 0 -1048
314 0 -1049
315 0 -1051
316 0 -1055
317 0 -1060
318 0 -1064
319 0 -1069
320 0 -1073
321 0 -1074
322 0 -1074
323 0 -1072
324 0 -1067
325 0 -1061
326 0 -1053
327 0 -1043
328 0 -1031
329 0 -1019
330 0 -1007
331 0 -994
332 0 -984
333 0 -974
334 0 -966
335 0 -960
336 0 -957
337 0 -956
338 0 -956
339 0 -958
340 0 -960
341 0 -964
342 0 -968
343 0 -970
344 0 -972
345 0 -974
346 0 -973
347 0 -970
348 0 -969
349 0 -963
350 0 -955
351 0 -948
352 0 -936
353 0 -925
354 0 -916
355 0 -904
356 0 -894
357 0 -887
358 0 -879
359 0 -872
360 0 -869
361 0 -866
362 0 -864
363 0 -866
364 0 -867
365 0 -867
366 0 -871
367 0 -872
368 0 -871
369 0 -873
370 0 -870
371 0 -867
372 0 -864
373 0 -857
374 0 -849
375 0 -843
376 0 -833
377 0 -823
378 0 -816
379 0 -806
380 0 -797
381 0 -791
382 0 -784
383 0 -778
384 0 -777
385 0 -774
386 0 -772
387 0 -774
388 0 -773
389 0 -774
390 0 -777
391 0 -777
392 0 -776
393 0 -775
394 0 -773
395 0 -770
396 0 -766
397 0 -761
398 0 -755
399 0 -748
400 0 -740
401 0 -732
402 0 -724
403 0 -716
404 0 -708
405 0 -701
406 0 -694
407 0 -688
408 0 -683
409 0 -679
410 0 -676
411 0 -675
412 0 -674
413 0 -673
414 0 -672
415 0 -672
416 0 -672
417 0 -672
418 0 -672
419 0 -671
420 0 -669
421 0 -666
422 0 -662
423 0 -657
424 0 -651
425 0 -644
426 0 -636
427 0 -628
428 0 -620
429 0 -612
430 0 -604
431 0 -597
432 0 -590
433 0 -584
434 0 -579
435 0 -575
436 0 -572
437 0 -571
438 0 -570
439 0 -569
440 0 -568
441 0 -568
442 0 -568
443 0 -568
444 0 -568
445 0 -567
446 0 -565
447 0 -562
448 0 -558
449 0 -553
450 0 -547
451 0 -540
452 0 -532
453 0 -524
454 0 -516
455 0 -508
456 0 -500
457 0 -493
458 0 -486
459 0 -480
460 0 -475
461 0 -471
462 0 -468
463 0 -467
464 0 -466
465 0 -465
466 0 -464
467 0 -464
468 0 -464
469 0 -464
470 0 -464
471 0 -463
472 0 -461
473 0 -458
474 0 -454
475 0 -449
476 0 -443
477 0 -436
478 0 -428
479 0 -420
480 0 -412
481 0 -404
482 0 -396
483 0 -389
484 0 -382
485 0 -376
486 0 -371
487 0 -367
488 0 -364
489 0 -363
490 0 -362
491 0 -361
492 0 -360
493 0 -360
494 0 -360
495 0 -360
496 0 -360
497 0 -359
498 0 -357
499 0 -354
500 0 -350
501 0 -345
502 0 -339
503 0 -332
504 0 -324
505 0 -316
506 0 -308
507 0 -300
508 0 -292
509 0 -285
510 0 -278
511 0 -272
512 0 -267
513 0 -263
514 0 -260
515 0 -259
516 0 -258
517 0 -257
518 0 -256
519 0 -256
520 0 -256
521 0 -256
522 0 -256
523 0 -255
524 0 -253
525 0 -250
526 0 -246
527 0 -241
528 0 -235
529 0 -228
530 0 -220
531 0 -212
532 0 -204
533 0 -197
534 0 -190
535 0 -183
536 0 -178
537 0 -173
538 0 -169
539 0 -166
540 0 -164
541 0 -163
542 0 -163
543 0 -163
544 0 -166
545 0 -166
546 0 -168
547 0 -170
548 0 -169
549 0 -169
550 0 -168
551 0 -166
552 0 -163
553 0 -159
554 0 -154
555 0 -148
556 0 -142
557 0 -135
558 0 -128
559 0 -122
560 0 -116
561 0 -111
562 0 -106
563 0 -102
564 0 -100
565 0 -99
566 0 -100
567 0 -103
568 0 -104
569 0 -107
570 0 -112
571 0 -115
572 0 -119
573 0 -124
574 0 -126
575 0 -129
576 0 -132
577 0 -132
578 0 -132
579 0 -131
580 0 -129
581 0 -127
582 0 -123
583 0 -119
584 0 -115
585 0 -111
586 0 -107
587 0 -104
588 0 -101
589 0 -99
590 0 -98
591 0 -98
592 0 -100
593 0 -101
594 0 -104
595 0 -109
596 0 -111
597 0 -115
598 0 -120
599 0 -123
600 0 -126
601 0 -130
602 0 -131
603 0 -132
604 0 -133
605 0 -130
606 0 -129
607 0 -128
608 0 -122
609 0 -119
610 0 -116
611 0 -110
612 0 -107
613 0 -105
614 0 -100
615 0 -99
616 0 -99
617 0 -97
618 0 -100
619 0 -102
620 0 -103
621 0 -109
622 0 -112
623 0 -114
624 0 -120
625 0 -124
626 0 -125
627 0 -130
628 0 -132
629 0 -131
630 0 -133
631 0 -131
632 0 -128
633 0 -128
634 0 -123
635 0 -118
636 0 -116
637 0 -111
638 0 -106
639 0 -105
640 0 -101
641 0 -98
642 0 -99
643 0 -98
644 0 -99
645 0 -102
646 0 -104
647 0 -108
648 0 -112
649 0 -115
650 0 -119
651 0 -124
652 0 -126
653 0 -129
654 0 -132
655 0 -132
656 0 -132
657 0 -131
658 0 -129
659 0 -127
660 0 -123
661 0 -119
662 0 -115
663 0 -111
664 0 -107
665 0 -104
666 0 -101
667 0 -99
668 0 -98
669 0 -98
670 0 -100
671 0 -101
672 0 -104
673 0 -109
674 0 -111
675 0 -115
676 0 -120
677 0 -123
678 0 -126
679 0 -130
680 0 -131
681 0 -132
682 0 -133
683 0 -130
684 0 -129
685 0 -128
686 0 -122
687 0 -119
688 0 -116
689 0 -110
690 0 -107
691 0 -105
692 0 -100
693 0 -99
694 0 -99
695 0 -97
696 0 -100
697 0 -102
698 0 -103
699 0 -109
700 0 -112
701 0 -114
702 0 -120
703 0 -124
704 0 -125
705 0 -130
706 0 -132
707 0 -131
708 0 -133
709 0 -131
710 0 -128
711 0 -128
712 0 -123
713 0 -118
714 0 -116
715 0 -111
716 0 -106
717 0 -105
718 0 -101
719 0 -98
720 0 -99
721 0 -98
722 0 -99
723 0 -102
724 0 -104
725 0 -108
726 0 -112
727 0 -115
728 0 -119
729 0 -124
730 0 -126
731 0 -129
732 0 -132
733 0 -132
734 0 -132
735 0 -131
736 0 -129
737 0 -127
738 0 -123
739 0 -119
740 0 -115
741 0 -111
742 0 -107
743 0 -104
744 0 -101
745 0 -99
746 0 -98
747 0 -98
748 0 -100
749 0 -101
750 0 -104
751 0 -109
752 0 -111
753 0 -115
754 0 -120
755 0 -123
756 0 -126
757 0 -130
758 0 -131
759 0 -132
760 0 -133
761 0 -130
762 0 -129
763 0 -128
764 0 -122
765 0 -119
766 0 -116
767 0 -110
768 0 -107
769 0 -105
770 0 -100
771 0 -99
772 0 -99
773 0 -97
774 0 -100
775 0 -102
776 0 -103
777 0 -109
778 0 -112
779 0 -114
780 0 -120
781 0 -124
782 0 -125
783 0 -130
784 0 -132
785 0 -131
786 0 -133
787 0 -131
788 0 -128
789 0 -128
790 0 -123
791 0 -118
792 0 -116
793 0 -111
794 0 -106
795 0 -105
796 0 -101
797 0 -98
798 0 -99
799 0 -98
800 0 -99
801 0 -102
802 0 -104
803 0 -108
804 0 -112
805 0 -115
806 0 -119
807 0 -124
808 0 -126
809 0 -129
810 0 -132
811 0 -132
812 0 -132
813 0 -131
814 0 -129
815 0 -127
816 0 -123
817 0 -119
818 0 -115
819 0 -111
820 0 -107
821 0 -104
822 0 -101
823 0 -99
824 0 -98
825 0 -98
826 0 -100
827 0 -101
828 0 -104
829 0 -109
830 0 -111
831 0 -115
832 0 -120
833 0 -123
834 0 -126
835 0 -130
836 0 -131
837 0 -132
838 0 -133
839 0 -130
840 0 -129
841 0 -128
842 0 -122
843 0 -119
844 0 -116
845 0 -110
846 0 -107
847 0 -105
848 0 -100
849 0 -99
850 0 -99
851 0 -97
852 0 -100
853 0 -102
854 0 -103
855 0 -109
856 0 -112
857 0 -114
858 0 -120
859 0 -124
860 0 -125
861 0 -130
862 0 -132
863 0 -131
864 0 -133
865 0 -131
866 0 -128
867 0 -128
868 0 -123
869 0 -118
870 0 -116
871 0 -111
872 0 -106
873 0 -105
874 0 -101
875 0 -98
876 0 -99
877 0 -98
878 0 -99
879 0 -102
880 0 -104
881 0 -108
882 0 -112
883 0 -115
884 0 -119
885 0 -124
886 0 -126
887 0 -129
888 0 -132
889 0 -132
890 0 -132
891 0 -131
892 0 -129
893 0 -127
894 0 -123
895 0 -119
896 0 -115
897 0 -111
898 0 -107
899 0 -104
900 0 -101
901 0 -99
902 0 -98
903 0 -98
904 0 -100
905 0 -101
906 0 -104
907 0 -109
908 0 -111
909 0 -115
910 0 -120
911 0 -123
912 0 -126
913 0 -130
914 0 -131
915 0 -132
916 0 -133
917 0 -130
918 0 -129
919 0 -128
920 0 -122
921 0 -119
922 0 -116
923 0 -110
924 0 -107
925 0 -105
926 0 -100
927 0 -99
928 0 -99
929 0 -97
930 0 -100
931 0 -102
932 0 -103
933 0 -109
934 0 -112
935 0 -114
936 0 -120
937 0 -124
938 0 -125
939 0 -130
940 0 -132
941 0 -131
942 0 -133
943 0 -131
944 0 -128
945 0 -128
946 0 -123
947 0 -118
948 0 -116
949 0 -111
950 0 -106
951 0 -105
952 0 -101
953 0 -98
954 0 -99
955 0 -98
956 0 -99
957 0 -102
958 0 -104
959 0 -108
960 0 -112
961 0 -115
962 0 -119
963 0 -124
964 0 -126
965 0 -129
966 0 -132
967 0 -132
968 0 -132
969 0 -131
970 0 -129
971 0 -127
972 0 -123
973 0 -119
974 0 -115
975 0 -111
976 0 -107
977 0 -104
978 0 -101
979 0 -99
980 0 -98
981 0 -98
982 0 -100
983 0 -101
984 0 -104
985 0 -109
986 0 -111
987 0 -115
988 0 -120
989 0 -123
990 0 -126
991 0 -130
992 0 -131
993 0 -132
994 0 -133
995 0 -130
996 0 -129
997 0 -128
998 0 -122
999 0 -119
1000 0 -116
1001 0 -110
1002 0 -107
1003 0 -105
1004 0 -100
1005 0 -99
1006 0 -99
1007 0 -97
1008 0 -100
1009 0 -102
1010 0 -103
1011 0 -109
1012 0 -112
1013 0 -114
1014 0 -120
1015 0 -124
1016 0 -125
1017 0 -130
1018 0 -132
1019 0 -131
1020 0 -133
1021 0 -131
1022 0 -128
1023 0 -128
1024 0 -123
1025 0 -118
1026 0 -116
1027 0 -111
1028 0 -106
1029 0 -105
1030 0 -101
1031 0 -98
1032 0 -99
1033 0 -98
1034 0 -99
1035 0 -102
1036 0 -104
1037 0 -108
1038 0 -112
1039 0 -115
1040 0 -119
1041 0 -124
1042 0 -126
1043 0 -129
1044 0 -132
1045 0 -132
1046 0 -132
1047 0 -131
1048 0 -129
1049 0 -127
1050 0 -123
1051 0 -119
1052 0 -115
1053 0 -111
1054 0 -107
1055 0 -104
1056 0 -101
1057 0 -99
1058 0 -98
1059 0 -98
1060 0 -100
1061 0 -101
1062 0 -104
1063 0 -109
1064 0 -111
1065 0 -115
1066 0 -120
1067 0 -123
1068 0 -126
1069 0 -130
1070 0 -131
1071 0 -132
1072 0 -133
1073 0 -130
1074 0 -129
1075 0 -128
1076 0 -122
1077 0 -119
1078 0 -116
1079 0 -110
1080 0 -107
1081 0 -105
1082 0 -100
1083 0 -99
1084 0 -99
1085 0 -97
1086 0 -100
1087 0 -102
1088 0 -103
1089 0 -109
1090 0 -112
1091 0 -114
1092 0 -120
1093 0 -124
1094 0 -125
1095 0 -130
1096 0 -132
1097 0 -131
1098 0 -133
1099 0 -131
1100 0 -128
1101 0 -128
1102 0 -123
1103 0 -118
1104 0 -116
1105 0 -111
1106 0 -106
1107 0 -105
1108 0 -101
1109 0 -98
1110 0 -99
1111 0 -98
1112 0 -99
1113 0 -102
1114 0 -104
1115 0 -108
1116 0 -112
1117 0 -115
1118 0 -119
1119 0 -124
1120 0 -126
1121 0 -129
1122 0 -132
1123 0 -132
1124 0 -132
1125 0 -131
1126 0 -129
1127 0 -127
1128 0 -123
1129 0 -119
1130 0 -115
1131 0 -111
1132 0 -107
1133 0 -104
1134 0 -101
1135 0 -99
1136 0 -98
1137 0 -98
1138 0 -100
1139 0 -101
1140 0 -104
1141 0 -109
1142 0 -111
1143 0 -115
1144 0 -120
1145 0 -123
1146 0 -126
1147 0 -130
1148 0 -131
1149 0 -132
1150 0 -133
1151 0 -130
1152 0 -129
1153 0 -128
1154 0 -122
1155 0 -119
1156 0 -116
1157 0 -110
1158 0 -107
1159 0 -105
1160 0 -100
1161 0 -99
1162 0 -99
1163 0 -97
1164 0 -100
1165 0 -102
1166 0 -103
1167 0 -109
1168 0 -112
1169 0 -114
1170 0 -120
1171 0 -124
1172 0 -125
1173 0 -130
1174 0 -132
1175 0 -131
1176 0 -133
1177 0 -131
1178 0 -128
1179 0 -128
1180 0 -123
1181 0 -118
1182 0 -116
1183 0 -111
1184 0 -106
1185 0 -105
1186 0 -101
1187 0 -98
1188 0 -99
1189 0 -98
1190 0 -99
1191 0 -102
1192 0 -104
1193 0 -108
1194 0 -112
1195 0 -115
1196 0 -119
1197 0 -124
1198 0 -126
1199 0 -129
1200 0 -132
1201 0 -132
1202 0 -132
1203 0 -131
1204 0 -129
1205 0 -127
1206 0 -123
1207 0 -119
1208 0 -115
1209 0 -111
1210 0 -107
1211 0 -104
1212 0 -101
1213 0 -99
1214 0 -98
1215 0 -98
1216 0 -100
1217 0 -101
1218 0 -104
1219 0 -109
1220 0 -111
1221 0 -115
1222 0 -120
1223 0 -123
1224 0 -126
1225 0 -130
1226 0 -131
1227 0 -132
1228 0 -133
1229 0 -130
1230 0 -129
1231 0 -128
1232 0 -122
1233 0 -119
1234 0 -116
1235 0 -110
1236 0 -107
1237 0 -105
1238 0 -100
1239 0 -99
1240 0 -99
1241 0 -97
1242 0 -100
1243 0 -102
1244 0 -103
1245 0 -109
1246 0 -112
1247 0 -114
1248 0 -120
1249 0 -124
1250 0 -125
1251 0 -130
1252 0 -132
1253 0 -131
1254 0 -133
1255 0 -131
1256 0 -128
1257 0 -128
1258 0 -123
1259 0 -118
1260 0 -116
1261 0 -111
1262 0 -106
1263 0 -105
1264 0 -101
1265 0 -98
1266 0 -99
1267 0 -98
1268 0 -99
1269 0 -102
1270 0 -104
1271 0 -108
1272 0 -112
1273 0 -115
1274 0 -119
1275 0 -124
1276 0 -126
1277 0 -129
1278 0 -132
1279 0 -132
1280 0 -132
1281 0 -131
1282 0 -129
1283 0 -127
1284 0 -123
1285 0 -119
1286 0 -115
1287 0 -111
1288 0 -107
1289 0 -104
1290 0 -101
1291 0 -99
1292 0 -98
1293 0 -98
1294 0 -100
1295 0 -101
1296 0 -104
1297 0 -109
1298 0 -111
1299 0 -115
1300 0 -120
1301 0 -123
1302 0 -126
1303 0 -130
